# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  111       4.330682747212e-10       1.061093640377e-13      -3.876519516131e-12       0.000000000000e+00       6.126953391114e-12       1.080602565239e-12      -5.500123549137e-15 
  112       4.377316727503e-10       1.077047907871e-13      -3.958959926172e-12       0.000000000000e+00       5.976845735405e-12       1.060878881759e-12      -5.438704152229e-15 
  113       4.424103266673e-10       1.092728449360e-13      -4.040925291383e-12       0.000000000000e+00       5.831316000365e-12       1.041682157354e-12      -5.379450824660e-15 
  114       4.471038062958e-10       1.108121190021e-13      -4.122353155347e-12       0.000000000000e+00       5.690327863286e-12       1.023010207923e-12      -5.322274801628e-15 
  115       4.518115944320e-10       1.123212098768e-13      -4.203180587037e-12       0.000000000000e+00       5.553815080246e-12       1.004857101387e-12      -5.267066827948e-15 
  116       4.565330837839e-10       1.137987195908e-13      -4.283344201856e-12       0.000000000000e+00       5.421680574498e-12       9.872130407087e-13      -5.213696570571e-15 
  117       4.612675739106e-10       1.152432560805e-13      -4.362780182676e-12       0.000000000000e+00       5.293795524858e-12       9.700642469193e-13      -5.162012031102e-15 
  118       4.660142681614e-10       1.166534339543e-13      -4.441424300879e-12       0.000000000000e+00       5.169998454091e-12       9.533928421426e-13      -5.111838958315e-15 
  119       4.707722706155e-10       1.180278752586e-13      -4.519211937392e-12       0.000000000000e+00       5.050094317299e-12       9.371767326201e-13      -5.062980260665e-15 
  120       4.755405830212e-10       1.193652102443e-13      -4.596078103731e-12       0.000000000000e+00       4.933853590307e-12       9.213894917350e-13      -5.015215418813e-15 
  121       4.803181017349e-10       1.206640781324e-13      -4.671957463039e-12       0.000000000000e+00       4.821011358051e-12       9.060002430374e-13      -4.968299898132e-15 
  122       4.851036146608e-10       1.219231278811e-13      -4.746784351124e-12       0.000000000000e+00       4.711266402965e-12       8.909735432683e-13      -4.921964561231e-15 
  123       4.898959525214e-10       1.231410601165e-13      -4.820493481536e-12       0.000000000000e+00       4.604345812652e-12       8.762771979564e-13      -4.875964521274e-15 
  124       4.946944688671e-10       1.243167567495e-13      -4.893022107693e-12       0.000000000000e+00       4.500209148959e-12       8.619069740353e-13      -4.830233308235e-15 
