# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.095175030046e-02       7.565135900946e+03 
       6.173766527099e-02       7.488699407703e+03 
       6.258306250674e-02       7.409204923767e+03 
       6.349689567201e-02       7.325687473146e+03 
       6.448987711319e-02       7.237973995991e+03 
       6.557482545346e-02       7.144833526391e+03 
       6.676702713475e-02       7.044982255795e+03 
       6.808454548034e-02       6.936662972602e+03 
       6.954833925354e-02       6.817787778668e+03 
       7.118193851756e-02       6.685275174256e+03 
       7.301027981614e-02       6.535772032520e+03 
       7.505720623479e-02       6.365017819331e+03 
       7.734130904393e-02       6.168516676875e+03 
       7.987055222718e-02       5.942603399966e+03 
       8.263751691384e-02       5.685411251940e+03 
       8.561814583746e-02       5.399217737826e+03 
       8.877578305029e-02       5.090190559114e+03 
       9.206899960103e-02       4.768769439676e+03 
       9.545925076047e-02       4.446986770162e+03 
       9.891534215610e-02       4.137056791099e+03 
       1.024144094157e-01       3.849289289523e+03 
       1.059407949253e-01       3.590831966846e+03 
       1.094842477274e-01       3.365753952949e+03 
       1.130382476884e-01       3.174822353126e+03 
       1.165987223395e-01       3.016460120157e+03 
       1.201631564722e-01       2.886736963015e+03 
       1.237300072963e-01       2.780514285302e+03 
       1.272983323827e-01       2.691886010776e+03 
       1.308675574155e-01       2.614712866044e+03 
       1.344373328525e-01       2.543020047844e+03 
       1.380074460615e-01       2.471830868049e+03 
       1.415777676814e-01       2.397201702736e+03 
       1.451482189587e-01       2.316654741515e+03 
       1.487187518860e-01       2.229249662908e+03 
       1.522893371352e-01       2.135473040438e+03 
       1.558599567295e-01       2.036987212953e+03 
       1.594305995949e-01       1.936261305660e+03 
       1.630012588590e-01       1.836125854504e+03 
       1.665719302110e-01       1.739401197625e+03 
       1.701426109054e-01       1.648556547326e+03 
       1.737132991565e-01       1.565486792782e+03 
       1.772839937702e-01       1.491386077842e+03 
       1.808546939198e-01       1.426722646456e+03 
       1.844253990093e-01       1.371281087411e+03 
       1.879961085891e-01       1.324265706701e+03 
       1.915668223052e-01       1.284434523676e+03 
       1.951375398675e-01       1.250253349324e+03 
       1.987082610294e-01       1.220043941142e+03 
       2.022789855761e-01       1.192261154255e+03 
       2.058497133161e-01       1.165456845463e+03 
       2.094204440764e-01       1.138154172218e+03 
       2.129911776985e-01       1.109398845269e+03 
       2.165619140369e-01       1.078656361306e+03 
       2.201326529563e-01       1.045831337883e+03 
       2.237033943309e-01       1.011230481202e+03 
       2.272741380436e-01       9.754548884687e+02 
       2.308448839845e-01       9.392830840106e+02 
       2.344156320508e-01       9.035291047961e+02 
       2.379863821460e-01       8.689409861720e+02 
       2.415571341792e-01       8.361436657187e+02 
       2.451278880653e-01       8.056048747416e+02 
       2.486986437237e-01       7.776354205815e+02 
       2.522694010786e-01       7.523832431369e+02 
       2.558401600585e-01       7.298368175780e+02 
       2.594109205959e-01       7.098251515090e+02 
       2.629816826268e-01       6.920361783277e+02 
       2.665524460909e-01       6.760442557478e+02 
       2.701232109308e-01       6.613631452213e+02 
       2.736939770925e-01       6.475009969724e+02 
       2.772647445246e-01       6.340140974243e+02 
       2.808355131781e-01       6.205405274361e+02 
       2.844062830070e-01       6.068266220284e+02 
       2.879770539671e-01       5.927274548543e+02 
       2.915478260167e-01       5.781930479426e+02 
       2.951185991160e-01       5.632585422605e+02 
       2.986893732271e-01       5.480382859711e+02 
       3.022601483139e-01       5.327087289674e+02 
       3.058309243421e-01       5.174916304167e+02 
       3.094017012788e-01       5.026125287067e+02 
       3.129724790929e-01       4.882678739209e+02 
       3.165432577544e-01       4.746303035948e+02 
       3.201140372349e-01       4.618487596567e+02 
       3.236848175071e-01       4.499704644595e+02 
       3.272555985448e-01       4.389790122894e+02 
       3.308263803233e-01       4.288125662442e+02 
       3.343971628186e-01       4.193787649407e+02 
       3.379679460080e-01       4.105665252464e+02 
       3.415387298694e-01       4.022553974251e+02 
       3.451095143821e-01       3.943176381649e+02 
       3.486802995257e-01       3.866284907458e+02 
       3.522510852812e-01       3.790723738519e+02 
       3.558218716299e-01       3.715550510402e+02 
       3.593926585541e-01       3.640127694224e+02 
       3.629634460366e-01       3.564189173786e+02 
       3.665342340613e-01       3.487814805417e+02 
       3.701050226121e-01       3.411358865718e+02 
       3.736758116741e-01       3.335311494566e+02 
       3.772466012325e-01       3.260231900021e+02 
       3.808173912735e-01       3.186659228526e+02 
       3.843881817834e-01       3.115089174869e+02 
       3.879589727493e-01       3.045940659608e+02 
       3.915297641586e-01       2.979574403779e+02 
       3.951005559993e-01       2.916264348728e+02 
       3.986713482597e-01       2.856115116223e+02 
       4.022421409286e-01       2.799077232224e+02 
       4.058129339951e-01       2.744916181287e+02 
       4.093837274488e-01       2.693260009558e+02 
       4.129545212797e-01       2.643689910591e+02 
       4.165253154779e-01       2.595769212200e+02 
       4.200961100341e-01       2.549144325259e+02 
       4.236669049392e-01       2.503520910371e+02 
       4.272377001844e-01       2.458691265256e+02 
       4.308084957611e-01       2.414504533422e+02 
       4.343792916613e-01       2.370837859700e+02 
       4.379500878769e-01       2.327618466975e+02 
       4.415208844003e-01       2.284828936427e+02 
       4.450916812241e-01       2.242519766543e+02 
       4.486624783409e-01       2.200805871990e+02 
       4.522332757439e-01       2.159847411679e+02 
       4.558040734263e-01       2.119804117150e+02 
       4.593748713816e-01       2.080804688314e+02 
       4.629456696034e-01       2.042928768831e+02 
       4.665164680857e-01       2.006205698179e+02 
       4.700872668223e-01       1.970629828769e+02 
       4.736580658076e-01       1.936191909334e+02 
       4.772288650359e-01       1.902875168705e+02 
       4.807996645019e-01       1.870658443974e+02 
       4.843704642001e-01       1.839493134540e+02 
       4.879412641257e-01       1.809299743442e+02 
       4.915120642734e-01       1.779963961388e+02 
       4.950828646386e-01       1.751352987886e+02 
       4.986536652166e-01       1.723341001936e+02 
       5.022244660027e-01       1.695832293931e+02 
       5.057952669925e-01       1.668768163524e+02 
       5.093660681819e-01       1.642126427145e+02 
       5.129368695665e-01       1.615900365610e+02 
       5.165076711423e-01       1.590090077327e+02 
       5.200784729054e-01       1.564693289891e+02 
       5.236492748519e-01       1.539709895999e+02 
       5.272200769781e-01       1.515155105517e+02 
       5.307908792803e-01       1.491059646273e+02 
       5.343616817551e-01       1.467473089461e+02 
