# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.966598124300e-10       9.279046104244e-14      -3.205689496764e-12       3.125855457933e-16       7.509497525715e-12       1.258567767672e-12      -6.049632653312e-15 
  104       4.011823554095e-10       9.455475484935e-14      -3.289564112702e-12       3.188404615402e-16       7.315862195404e-12       1.234105020875e-12      -5.979869299607e-15 
  105       4.057250830155e-10       9.630396119159e-14      -3.373452329588e-12       3.251643608830e-16       7.128900988281e-12       1.210332942597e-12      -5.909220520723e-15 
  106       4.102874113043e-10       9.803651531554e-14      -3.457293843312e-12       3.315576844366e-16       6.948320346689e-12       1.187230450569e-12      -5.838257803115e-15 
  107       4.148686228152e-10       9.975083610277e-14      -3.541027484195e-12       3.380208870811e-16       6.773759352549e-12       1.164769341845e-12      -5.767586753330e-15 
  108       4.194678617277e-10       1.014453264679e-13      -3.624591232463e-12       3.445544382069e-16       6.604787691826e-12       1.142914067573e-12      -5.697847764562e-15 
  109       4.240841290184e-10       1.031183737563e-13      -3.707922233704e-12       3.511588219600e-16       6.440903618993e-12       1.121621507764e-12      -5.629716683200e-15 
  110       4.287164593883e-10       1.047683879356e-13      -3.790957394042e-12       3.578345548871e-16       6.281646280602e-12       1.100851760887e-12      -5.563777877296e-15 
  111       4.333644881694e-10       1.063939208701e-13      -3.873635219013e-12       3.645822409113e-16       6.126953391114e-12       1.080602565239e-12      -5.500123549137e-15 
  112       4.380279482440e-10       1.079935631263e-13      -3.955894240059e-12       3.714025238841e-16       5.976845735405e-12       1.060878881759e-12      -5.438704152229e-15 
  113       4.427064917382e-10       1.095659083046e-13      -4.037672476791e-12       3.782960712252e-16       5.831316000365e-12       1.041682157354e-12      -5.379450824660e-15 
  114       4.473996869655e-10       1.111095538084e-13      -4.118907458150e-12       3.852635743398e-16       5.690327863286e-12       1.023010207923e-12      -5.322274801628e-15 
  115       4.521070153698e-10       1.126231016136e-13      -4.199536243573e-12       3.923057490337e-16       5.553815080246e-12       1.004857101387e-12      -5.267066827948e-15 
  116       4.568278684691e-10       1.141051590375e-13      -4.279495444154e-12       3.994233359306e-16       5.421680574498e-12       9.872130407087e-13      -5.213696570571e-15 
  117       4.615615447989e-10       1.155543395086e-13      -4.358721243807e-12       4.066171008877e-16       5.293795524858e-12       9.700642469193e-13      -5.162012031102e-15 
  118       4.663072468553e-10       1.169692633352e-13      -4.437149420434e-12       4.138878354120e-16       5.169998454091e-12       9.533928421426e-13      -5.111838958315e-15 
  119       4.710640780388e-10       1.183485584753e-13      -4.514715367084e-12       4.212363570771e-16       5.050094317299e-12       9.371767326201e-13      -5.062980260665e-15 
  120       4.758310395976e-10       1.196908613055e-13      -4.591354113118e-12       4.286635099386e-16       4.933853590307e-12       9.213894917350e-13      -5.015215418813e-15 
  121       4.806070275704e-10       1.209948173903e-13      -4.667000345373e-12       4.361701649511e-16       4.821011358051e-12       9.060002430374e-13      -4.968299898132e-15 
  122       4.853908297309e-10       1.222590822515e-13      -4.741588429326e-12       4.437572203841e-16       4.711266402965e-12       8.909735432683e-13      -4.921964561231e-15 
  123       4.901812761580e-10       1.234823634281e-13      -4.815053117197e-12       4.514255330792e-16       4.604345812652e-12       8.762771979564e-13      -4.875964521274e-15 
  124       4.949777170473e-10       1.246635504885e-13      -4.887331719296e-12       4.591757023923e-16       4.500209148959e-12       8.619069740353e-13      -4.830233308235e-15 
  125       4.997795942871e-10       1.258016014738e-13      -4.958362223169e-12       4.670082620989e-16       4.398866125441e-12       8.478645190286e-13      -4.784745388865e-15 
  126       5.045862909180e-10       1.268955040275e-13      -5.028082655299e-12       4.749237472041e-16       4.300312796891e-12       8.341496287641e-13      -4.739468115772e-15 
  127       5.093971292854e-10       1.279442764899e-13      -5.096431107672e-12       4.829226938140e-16       4.204531163225e-12       8.207601928106e-13      -4.694361528930e-15 
  128       5.142113691912e-10       1.289469689921e-13      -5.163345764342e-12       4.910056390086e-16       4.111488773358e-12       8.076921399146e-13      -4.649378157187e-15 
  129       5.190282060462e-10       1.299026645500e-13      -5.228764928007e-12       4.991731207131e-16       4.021138329090e-12       7.949393834368e-13      -4.604462819772e-15 
  130       5.238467690223e-10       1.308104801587e-13      -5.292627046569e-12       5.074256775709e-16       3.933417288984e-12       7.824937667891e-13      -4.559552427801e-15 
  131       5.286661192041e-10       1.316695678864e-13      -5.354870739709e-12       5.157638488149e-16       3.848247472248e-12       7.703450088711e-13      -4.514575785788e-15 
  132       5.334852477416e-10       1.324791159688e-13      -5.415434825450e-12       5.241881741402e-16       3.765534662615e-12       7.584806495067e-13      -4.469453393149e-15 
  133       5.383030740020e-10       1.332383499030e-13      -5.474258346729e-12       5.326991935760e-16       3.685168212229e-12       7.468859948810e-13      -4.424097245710e-15 
  134       5.431184437216e-10       1.339465335417e-13      -5.531280597964e-12       5.412974473577e-16       3.607020645518e-12       7.355440629768e-13      -4.378410637218e-15 
  135       5.479301271586e-10       1.346029701874e-13      -5.586441151621e-12       5.499834757991e-16       3.530947263083e-12       7.244355290113e-13      -4.332287960842e-15 
  136       5.527368172445e-10       1.352070036863e-13      -5.639679884785e-12       5.587578191644e-16       3.456785745573e-12       7.135386708730e-13      -4.285614510690e-15 
  137       5.575372493823e-10       1.357580503324e-13      -5.690937541298e-12       5.676210425095e-16       3.384390384237e-12       7.028340846587e-13      -4.238292180522e-15 
  138       5.623305787430e-10       1.362556959878e-13      -5.740157427601e-12       5.765738133765e-16       3.313739608785e-12       6.923194975038e-13      -4.190319981415e-15 
  139       5.671160386890e-10       1.366996111335e-13      -5.787283943569e-12       5.856168319338e-16       3.244838887163e-12       6.819963912533e-13      -4.141721518439e-15 
  140       5.718928215667e-10       1.370895222394e-13      -5.832262092371e-12       5.947508067589e-16       3.177686922557e-12       6.718653458334e-13      -4.092519807230e-15 
  141       5.766600776297e-10       1.374252130535e-13      -5.875037510442e-12       6.039764548691e-16       3.112275477056e-12       6.619260149653e-13      -4.042737239874e-15 
  142       5.814169139635e-10       1.377065258923e-13      -5.915556497447e-12       6.132945017518e-16       3.048589195316e-12       6.521771018783e-13      -3.992395550784e-15 
  143       5.861623934098e-10       1.379333629299e-13      -5.953766046250e-12       6.227056813955e-16       2.986605428224e-12       6.426163350236e-13      -3.941515782587e-15 
  144       5.908955334904e-10       1.381056874880e-13      -5.989613872882e-12       6.322107363200e-16       2.926294056560e-12       6.332404437874e-13      -3.890118252001e-15 
  145       5.956153053317e-10       1.382235253255e-13      -6.023048446508e-12       6.418104176075e-16       2.867617314660e-12       6.240451342044e-13      -3.838222515723e-15 
  146       6.003206325887e-10       1.382869659282e-13      -6.054019019394e-12       6.515054849327e-16       2.810529614080e-12       6.150250646713e-13      -3.785847336308e-15 
  147       6.050103903694e-10       1.382961637985e-13      -6.082475656876e-12       6.612967065938e-16       2.754977367259e-12       6.061738216603e-13      -3.733010648049e-15 
  148       6.096834041590e-10       1.382513397450e-13      -6.108369267329e-12       6.711848595427e-16       2.700898811182e-12       5.974838954324e-13      -3.679729522862e-15 
  149       6.143384487439e-10       1.381527821723e-13      -6.131651632130e-12       6.811707294160e-16       2.648223831044e-12       5.889466557506e-13      -3.626020136170e-15 
  150       6.189742471363e-10       1.380008483707e-13      -6.152275435631e-12       6.912551105656e-16       2.596873783912e-12       5.805523275938e-13      -3.571897732780e-15 
  151       6.235894694981e-10       1.377959658058e-13      -6.170194295122e-12       7.014388060890e-16       2.546761322388e-12       5.722899668701e-13      -3.517376592768e-15 
  152       6.281827320650e-10       1.375386334080e-13      -6.185362790804e-12       7.117226278599e-16       2.497790218274e-12       5.641474361298e-13      -3.462469997360e-15 
  153       6.327526993853e-10       1.372294309085e-13      -6.197736852818e-12       7.221073250276e-16       2.449875146906e-12       5.561144089514e-13      -3.407199045583e-15 
  154       6.372984039890e-10       1.368690451060e-13      -6.207274899771e-12       7.325933619715e-16       2.403003480219e-12       5.481917483949e-13      -3.351620098004e-15 
  155       6.418189545149e-10       1.364582485116e-13      -6.213936863651e-12       7.431811196725e-16       2.357178927080e-12       5.403829579069e-13      -3.295799830357e-15 
  156       6.463134345215e-10       1.359978928413e-13      -6.217683873793e-12       7.538709650588e-16       2.312402014698e-12       5.326912221968e-13      -3.239806622872e-15 
  157       6.507809019373e-10       1.354889103471e-13      -6.218478288667e-12       7.646632506724e-16       2.268670013953e-12       5.251193983749e-13      -3.183710571233e-15 
  158       6.552203885115e-10       1.349323151478e-13      -6.216283727657e-12       7.755583143355e-16       2.225976864711e-12       5.176700070905e-13      -3.127583497539e-15 
  159       6.596308992642e-10       1.343292045590e-13      -6.211065102855e-12       7.865564788163e-16       2.184313101149e-12       5.103452236708e-13      -3.071498961262e-15 
  160       6.640114119366e-10       1.336807604246e-13      -6.202788650844e-12       7.976580514959e-16       2.143665777079e-12       5.031468692585e-13      -3.015532270205e-15 
  161       6.683608764419e-10       1.329882504469e-13      -6.191421964484e-12       8.088633240344e-16       2.104018391265e-12       4.960764019507e-13      -2.959760491458e-15 
  162       6.726782143150e-10       1.322530295173e-13      -6.176934024696e-12       8.201725720369e-16       2.065350812748e-12       4.891349079366e-13      -2.904262462362e-15 
  163       6.769623181638e-10       1.314765410474e-13      -6.159295232254e-12       8.315860547201e-16       2.027639206167e-12       4.823230926363e-13      -2.849118801465e-15 
  164       6.812120511185e-10       1.306603182991e-13      -6.138477439565e-12       8.431040145786e-16       1.990855957082e-12       4.756412718387e-13      -2.794411919477e-15 
  165       6.854262462830e-10       1.298059857156e-13      -6.114453982461e-12       8.547266770513e-16       1.954969597292e-12       4.690893628402e-13      -2.740226030235e-15 
