# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.951375398675e-01       1.269401403108e+03 
       1.987082610294e-01       1.238762504852e+03 
       2.022789855761e-01       1.210585631741e+03 
       2.058497133161e-01       1.183400100107e+03 
       2.094204440764e-01       1.155706095363e+03 
       2.129911776985e-01       1.126534426748e+03 
       2.165619140369e-01       1.095342237544e+03 
       2.201326529563e-01       1.062032672479e+03 
       2.237033943309e-01       1.026917287695e+03 
       2.272741380436e-01       9.906066914194e+02 
       2.308448839845e-01       9.538917571568e+02 
       2.344156320508e-01       9.175994819171e+02 
       2.379863821460e-01       8.824898657370e+02 
       2.415571341792e-01       8.491978967448e+02 
       2.451278880653e-01       8.181988789736e+02 
       2.486986437237e-01       7.898086997978e+02 
       2.522694010786e-01       7.641777822903e+02 
       2.558401600585e-01       7.412945345641e+02 
       2.594109205959e-01       7.209853499003e+02 
       2.629816826268e-01       7.029332894124e+02 
       2.665524460909e-01       6.867060119519e+02 
       2.701232109308e-01       6.718095934347e+02 
       2.736939770925e-01       6.577443792848e+02 
       2.772647445246e-01       6.440595897858e+02 
       2.808355131781e-01       6.303875233534e+02 
       2.844062830070e-01       6.164704483242e+02 
       2.879770539671e-01       6.021611095896e+02 
       2.915478260167e-01       5.874087283110e+02 
       2.951185991160e-01       5.722490247150e+02 
       2.986893732271e-01       5.567982085676e+02 
       3.022601483139e-01       5.412355988461e+02 
       3.058309243421e-01       5.257865643128e+02 
       3.094017012788e-01       5.106803228217e+02 
       3.129724790929e-01       4.961165425682e+02 
       3.165432577544e-01       4.822707015543e+02 
       3.201140372349e-01       4.692942013296e+02 
       3.236848175071e-01       4.572350868421e+02 
       3.272555985448e-01       4.460767402059e+02 
       3.308263803233e-01       4.357563667544e+02 
       3.343971628186e-01       4.261801387757e+02 
       3.379679460080e-01       4.172351889880e+02 
       3.415387298694e-01       4.087991196008e+02 
       3.451095143821e-01       4.007421133985e+02 
       3.486802995257e-01       3.929373816525e+02 
       3.522510852812e-01       3.852674571934e+02 
       3.558218716299e-01       3.776365632709e+02 
       3.593926585541e-01       3.699799037603e+02 
       3.629634460366e-01       3.622704309066e+02 
       3.665342340613e-01       3.545162634772e+02 
       3.701050226121e-01       3.467534167254e+02 
       3.736758116741e-01       3.390317222377e+02 
       3.772466012325e-01       3.314080386953e+02 
       3.808173912735e-01       3.239371912453e+02 
       3.843881817834e-01       3.166695912900e+02 
       3.879589727493e-01       3.096478479113e+02 
       3.915297641586e-01       3.029086525702e+02 
       3.951005559993e-01       2.964798749740e+02 
       3.986713482597e-01       2.903721698220e+02 
       4.022421409286e-01       2.845805255710e+02 
       4.058129339951e-01       2.790811168598e+02 
       4.093837274488e-01       2.738361423964e+02 
       4.129545212797e-01       2.688030328528e+02 
       4.165253154779e-01       2.639373987379e+02 
       4.200961100341e-01       2.592032931065e+02 
       4.236669049392e-01       2.545707900363e+02 
       4.272377001844e-01       2.500187720568e+02 
       4.308084957611e-01       2.455319013166e+02 
       4.343792916613e-01       2.410976887759e+02 
       4.379500878769e-01       2.367087386177e+02 
       4.415208844003e-01       2.323632852995e+02 
       4.450916812241e-01       2.280664701743e+02 
       4.486624783409e-01       2.238299862888e+02 
       4.522332757439e-01       2.196701282852e+02 
       4.558040734263e-01       2.156031491477e+02 
       4.593748713816e-01       2.116421472649e+02 
       4.629456696034e-01       2.077952327505e+02 
       4.665164680857e-01       2.040653997542e+02 
       4.700872668223e-01       2.004520836809e+02 
       4.736580658076e-01       1.969543515807e+02 
       4.772288650359e-01       1.935705044747e+02 
       4.807996645019e-01       1.902983955183e+02 
       4.843704642001e-01       1.871330863498e+02 
       4.879412641257e-01       1.840664957077e+02 
       4.915120642734e-01       1.810870005942e+02 
       4.950828646386e-01       1.781810965019e+02 
       4.986536652166e-01       1.753359880106e+02 
       5.022244660027e-01       1.725419415130e+02 
       5.057952669925e-01       1.697929881548e+02 
       5.093660681819e-01       1.670868734137e+02 
       5.129368695665e-01       1.644229166699e+02 
       5.165076711423e-01       1.618011312496e+02 
       5.200784729054e-01       1.592212898738e+02 
       5.236492748519e-01       1.566833858692e+02 
       5.272200769781e-01       1.541889708067e+02 
       5.307908792803e-01       1.517411753986e+02 
       5.343616817551e-01       1.493450474430e+02 
       5.379324843988e-01       1.470058161231e+02 
       5.415032872083e-01       1.447270913694e+02 
       5.450740901802e-01       1.425100677438e+02 
       5.486448933114e-01       1.403525993780e+02 
       5.522156965987e-01       1.382507088590e+02 
       5.557865000392e-01       1.361998469092e+02 
       5.593573036298e-01       1.341961758378e+02 
       5.629281073678e-01       1.322371618722e+02 
       5.664989112502e-01       1.303205767679e+02 
       5.700697152745e-01       1.284443771262e+02 
       5.736405194380e-01       1.266053102846e+02 
       5.772113237379e-01       1.247998567343e+02 
       5.807821281720e-01       1.230244288311e+02 
       5.843529327376e-01       1.212767745939e+02 
       6.098397426237e-01       1.096552890696e+02 
       6.378903231634e-01       9.860882997095e+01 
       6.692038497302e-01       8.804577869201e+01 
       7.048163488117e-01       7.779139803285e+01 
       7.463437217773e-01       6.782094681984e+01 
       7.964709666330e-01       5.796151784043e+01 
       8.600179829467e-01       4.808110141217e+01 
       9.464302519305e-01       3.800764678880e+01 
       1.075486079358e+00       2.769116281393e+01 
       1.284175573607e+00       1.775549561673e+01 
       1.600519965090e+00       1.014204844190e+01 
       2.014142923753e+00       5.605042690827e+00 
       2.535647467398e+00       3.070387383985e+00 
       3.192191017031e+00       1.670081022692e+00 
       4.018730390638e+00       9.025728774979e-01 
       5.059281811924e+00       4.848656590660e-01 
